Nombre común |Nombre inglés |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo|Nacional/Importado|Objetivo |Incidental |Deportiva |Fomento |Cultivada |Cartel|Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación|Pacífico zona 1|Pacífico zona 2|Pacífico zona 3|Golfo Mex y Caribe zona 1|Golfo Mex y Caribe zona 2|Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen|Datos|||firma
Rocote espada|Swordspine Rockfish|Sebastes ensifer|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|15-30|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros. Habita en fondos de arrecifes de coral o rocosos. Se alimenta de crustáceos.|Se distribuye en el Pacífico Centro-oriental, desde San Francisco en California, EE.UU. hasta el centro de Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes ensifer.png|1|||FMM
Rocote viuda|Widow Rockfish|Sebastes entomelas|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|30-60|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos pelágicos. Vive en arrecifes rocosos, los jóvenes se encuentran en aguas poco profundas. Se alimentan principalmente de pequeños crustáceos y peces pelágicos. |Se distribuye en el Pacífico Noreste, desde el Golfo de Alaska hasta Bahía de Todos Santos, Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes entomelas.png|1|||FMM
Rocote pimiento|Chilipepper Rockfish|Sebastes goodei|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|20-56|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros y pelágicos. Viven en arrecifes rocosos profundos. Se alimentan de pequeños calamares y peces.|Se distribuye en el Pacífico Oriental, desde la   Columbia Británica, Canadá hasta Bahía Magdalena, Baja California Sur, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes goodei.png|1|||FMM
Rocote a cuadros |Squarespot Rockfish|Sebastes hopkinsi|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|15-30|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros. Habitan en los arrecifes poco profundos. Se alimentan de peces y  pequeños crustáceos.|Se distribuye en el Pacífico Oriental, desde California, EE.UU. hasta Baja California y la Isla Guadalupe en México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes hopkinsi.png|1|||FMM
Rocote vaquilla|Cowcod|Sebastes levis |Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|70-100|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros y pelágicos. Habitan en profundidades de hasta 366 m, los juveniles son pelágicos, los adultos habitan sobre fondos rocosos. Se alimentan de peces y pequeños crustáceos. |Se distribuye en el Pacífico Oriental, desde California, EE.UU. hasta Baja California y la Isla Guadalupe en México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes levis.png|1|||
Rocote mexicano|Mexican Rockfish|Sebastes macdonaldi|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|30-66|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros y pelágicos. Los menores de hasta 17 cm son pelágicos, mientras que los adultos prefieren zonas rocosas cercanas a la costa. Se alimentan de peces y pequeños crustáceos. |Se distribuye en el Este y Centro del Pacífico, desde California, EE.UU. hasta Baja California, México, incluido el Golfo de California.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes macdonaldi.png|1|||FMM
Rocote negro|Black Rockfish|Sebastes melanops|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|20-63|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros y pelágicos. Habita cerca de arrecifes rocosos en aguas poco profundas y en aguas abiertas sobre bancos profundos, los juveniles son pelágicos. Se alimentan de peces. |Se distribuye en el Pacífico Oriental, desde Alaska hasta Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes melanops.png|1|||
Rocote semáforo|Semaphore Rockfish|Sebastes melanosema|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|9.5-20|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros .Habita aguas moderadamente profundas, con suatratos rocos. Se alimenta de peces.|Se distribuye en el Pacífico Centro-Oriental, desde el sur de California, EE.UU. hasta el centro de Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes melanosema.png|1|||FMM
Rocote agalla negra|Blackgill Rockfish|Sebastes melanostomus|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|20-61|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros y pelágicos. Habitan en aguas profundas de fondos suaves, los juveniles son pelágicos. Se alimentan de peces. |Se distribuye en el Pacífico Oriental, desde Washington, EE.UU. hasta el centro de Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes melanostomus.png|1|||
Rocote bermejo|Vermilion Rockfish|Sebastes miniatus|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|30-91|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros. Los adultos viven en  arrecifes rocosos profundos, los juveniles habitan aguas poco profundas.  Se alimentan de peces.|Se distribuye en el Pacífico Oriental,  desde Columbia Británica, Canadá hasta el centro de Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes miniatus.png|1|||
Rocote azul|Blue Rockfish|Sebastes mystinus|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|30-61|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros y pelágicos. Vive cerca de la superficie, por lo general en arrecifes poco profundos, pero también alrededor de algas marinas, los juveniles son pelágicos. Se alimentan de peces y crustaceos microscópicos.|Se distribuye en el Pacífico Oriental, desde la isla de Vancouver en la Columbia Británica, Canadá hasta el norte de Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes mystinus.png|1|||
Rocote bocaccio|Bocaccio Rockfish|Sebastes paucispinis|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|36-48|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros y pelágicos. Habitan en arrecifes rocosos, los juveniles son pelágicos. Se alimentan principalmente de peces, incluyendo otros peces roca.|Se distribuye en el Pacífico Oriental, desde la península de Alaska, hasta Baja California, México.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Sebastes paucispinis.png|0|||FMM
Rocote olivo|Grass Rockfish|Sebastes rastrelliger|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|30-56|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros.Vive en fondos rocosos cerca de la costa. Se alimentan de peces.|Se distribuye en el Pacífico Oriental, desde Oregon, EE.UU. a Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes rastrelliger.png|1|||
Rocote rosado|Rosy Rockfish|Sebastes rosaceus|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|20-36|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros. Se alimentan de peces.|Se distribuye en el Pacífico Oriental, desde Washington, EE.UU. hasta el centro de Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes rosaceus.png|1|||FMM
Rocote motas verdes|Greenblotched Rockfish|Sebastes rosenblatti|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|20-48|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros.Vive en fondo rocosos a profundidades medias. Se alimentan de peces.|Se distribuye en el Pacífico Centro-Oriental, desde San Francisco en California, EE.UU. hasta el centro de Baja California, México.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Sebastes rosenblatti.png|0|||
Rocote bandera|Flag Rockfish|Sebastes rubrivinctus|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|20-51|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros. Vive en zonas rocosas. Se alimentan de peces.|Se distribuye en el Pacífico Oriental, desde San Francisco, California, EE.UU. hasta el Cabo de San Quintín, Baja California, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes rubrivinctus.png|1|||
Rocote rojo|Bank Rockfish|Sebastes rufus|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Rocotes|Nacional|1|0|0|0|0|2|20-54|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros y pelágicos. Los adultos son demersales (asociados al fondo) y los juveniles pelágicos. Se alimentan de peces.|Se distribuye en el Pacífico Oriental, desde California, EE.UU. hasta el centro de Baja California y la Isla de Guadalupe, México.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Sebastes rufus.png|1|||
Rocote inspector|Halfbanded Rockfish|Sebastes semicinctus|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|15-25|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros y pelágicos. Se alimentan de peces.|Se distribuye en el Pacífico Centro-Oriental, desde bahia Monterey en el centro de California, EE.UU. hasta el centro de Baja California, México.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Sebastes semicinctus.png|0|||FMM
Rocote falsa cabrilla|Olive Rockfish|Sebastes serranoides |Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|20-61|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros y pelágicos. Vive cerca de zonas con presencia de kelp o en arrecifes rocosos, los juveniles son pelágicos. Se alimentan de peces.|Se distribuye en el Pacífico Oriental, desde el norte de California, EE.UU. hasta el centro de Baja California, México.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Sebastes serranoides.png|0|||FMM
Rocote presidiario|Treefish|Sebastes serriceps |Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|20-41|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros. Vive en zonas rocosas, por lo general en las grietas, muy territorial. Se alimentan de peces.|Se distribuye en el Pacífico Centro-Oriental, desde San Francisco en California, EE.UU. hasta el centro de Baja California, México.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Sebastes serriceps.png|0|||FMM
Rocote rosa|Pinkrose Rockfish|Sebastes simulator|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|15-30|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros. Vive zonas de hasta 200 m de profundidad. Se alimentan de peces.|Se distribuye en el Pacífico Centro-Oriental, desde el sur de California, EE.UU. hasta la isla de Guadalupe en México.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Sebastes simulator.png|0|||FMM
Rocote panal|Honeycomb Rockfish|Sebastes umbrosus|Actinopterygii|Scorpaeniformes |Sebastidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|15-30|No selectiva| Redes de enmalle, red de arreastre y línea de mano.||||||Especie marina de hábitos costeros. Vive en fondos rocosos hasta los 70m de profundidad. Se alimentan de peces.|Se distribuye en el Pacífico Centro-Oriental, desde Monterey en el centro de California, EE.UU. hasta el sur de Baja California, México.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Sebastes umbrosus.png|0|||FMM
Chopa salema|Bluestriped Chub|Sectator ocyurus|Actinopterygii|Perciformes|Kyphosidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|25-59|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros y oceanicos. Nadador rápido en aguas abiertas, habita  arrecifes profundos. Se alimenta de pequeños invertebrados del fondo. |Se distribuye en el Pacífico Oriental, desde Baja California a Perú.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Sectator ocyurus.png|0|||FMM
Chicharro ojón|Bigeye Scad|Selar crumenophthalmus|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles|Nacional|1|0|0|0|0|2|30-70|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive cerca de las islas y arrecifes. Se alimenta de peces y crustáceos planctónicos y bentónicos.      |Se distribuye desde el Atlántico Occidental y norte del Golfo de México, Atlántico Oriental y Mar Mediterráneo, Indo Pacífico y Pacífico Oriental, Golfo de California, Ecuador e Islas Galápagos.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|||||||||Selar crumenophthalmus.png|1|||FMM
Jorobado mexicano|Mexican Lookdown|Selene brevoortii|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|25-40|No selectiva|Red de enmalle o chinchorro lisero.      ||||||Especie marina de hábitos costeros. Vive cerca de las playas en bahías, ensenadas y estuarios. Se alimenta de peces, crustáceos, calamares y poliquetos.|Se distribuye en el Pacífico Oriental, desde Baja California Sur a Ecuador.  |Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Selene brevoortii.png|0|||FMM
Jorobado luna|Caribbean Moonfish|Selene brownii|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|20-29|No selectiva|Red agallera, atarraya escamera y línea de mano.||||||Especie marina de hábitos costeros. Habitan estuarios de fondos fangosos. Se alimenta de peces de menor talla y crustáceos bentónicos.|Se distribuye en el Atlántico Occidental, desde México hasta Colombia y Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Selene brownii.png|0|||FMM
Jorobado caballa|Atlantic Moonfish|Selene setapinnis |Actinopterygii|Perciformes|Carangidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|25-70|No selectiva|Red agallera, atarraya escamera y línea de mano.||||||Especie marina de hábitos costeros. Los adultos por lo general se encuentran cerca del fondo en las aguas costeras a profundidades de hasta 54 m. Los juveniles viven en estuarios de agua salobre y fondos fangosos. Se alimenta de pequeños peces y crustáceos de menor talla.|Se distribuye en el Atlántico occidental, desde Nueva Escocia, Canadá, hasta las Indias Occidentales, el Golfo de México y el Mar del Plata; Argentina.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Selene setapinnis.png|0|||FMM
Jorobado penacho|Lookdown|Selene vomer|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|35-48|No selectiva|Red agallera, atarraya escamera y línea de mano.||||||Especie marina de hábitos costeros. Los adultos se encuentran en aguas costeras poco profundas, generalmente sobre fondos duros o arenosos, los juveniles viven en las zonas estuarinas. Se alimentan de cangrejos, camarones, peces y gusanos. |Se distribuye en el Atlántico Occidental, desde Canadá, hasta  Uruguay, incluyendo las Bermudas y el Golfo de México. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Selene vomer.png|0|||FMM
Vieja californiana|California Sheephead|Semicossyphus pulcher|Actinopterygii|Perciformes|Labridae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|70-91|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.|Vulnerable|||||Especie marina de hábitos costeros. Vive en fondos rocosos y en parches de algas marinas. Se alimenta de equinodermos, crustáceos y moluscos. |Se distribuye en el Pacífico Oriental, desde Bahía de Monterey en California, EE.UU. hasta  el Golfo de California.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Semicossyphus pulcher.png|0|||FMM
Medregal coronado|Greater Amberjack|Seriola dumerili|Actinopterygii|Perciformes|Carangidae|1|1|1|1|Esmedregales|Nacional|0|1|0|0|0|2|100-190|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica. ||||||Especie marina de habitos costeros y pelagicos. Los adultos  se encuentran en arrecifes hacia el mar profundo; de vez en cuando entran en bahías costeras. Se alimentan principalmente de peces como el jurel patudo e invertebrados|Su distribución es circunglobal, encontrándose en el océano Índico, en el Pacífico occidental y en el Atlántico, de Nueva Escocia (Canadá) a Brasil, y desde las islas Británicas hasta Marruecos, así como en el mar Mediterráneo.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Seriola dumerili.png|0|||FMM
Medregal cola amarilla|Yellowtail Jack|Seriola lalandi|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Jureles|Nacional|1|0|0|0|0|2|80-250|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros y oceánicos. Vive en las praderas de algas marinas, zonas rocosas y estuarios. Se alimenta de peces, calamares y crustáceos.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|||||||||Seriola lalandi.png|1|||FMM
Medregal fortuno|Fortune Jack|Seriola peruana|Actinopterygii|Perciformes|Carangidae|0|0|1|0|Esmedregales|Nacional|1|0|0|0|0|2|40-60|No selectiva|Red agallera de superficie, chinchorro playero, almadraba y curricán.||||||Especie marina de hábitos pelágicos y costeros. Vive cerca de los arrecifes rocosos. Se alimenta de peces y crustáceos.  |Se distribuye en el Pacífico Oriental, desde México hasta Ecuador e Islas Galápagos. |Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Sin datos.|||||||||Seriola peruana.png|1|||FMM
Medregal limón|Almaco Jack|Seriola rivoliana|Actinopterygii|Perciformes|Carangidae|1|1|1|0|Esmedregales|Nacional|1|0|0|0|0|1|90-150|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos pelágicos. Vive cerca de la costa y sobre la plataforma continental. Se alimenta de peces y camarones.|Se distribuye en el Atlántico occidental, desde Nueva Escocia (Canadá), hasta Brasil. |Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible.|Sin datos.|Sin datos.|Sin datos.|Sin datos.|Sin datos.|sin datos|colapso|colapso|||SeriolaRivoliana.png|1|||FMM
Medregal rayado|Banded Rudderfish|Seriola zonata|Actinopterygii|Perciformes|Carangidae|1|1|0|0|Esmedregales|Nacional|1|0|0|0|0|1|50-75|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica. ||||||Especie marina que vive asociada a arrecifes. Se alimenta de peces e invertebrados.|Se distribuye en todo el Atlántico y Pacífico.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||SeriolaZonata.png|0|||FMM
Serrano bandera|Flag Serrano|Serranus huascarii|Actinopterygii|Perciformes|Serranidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|20-30|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Se alimenta principalmente de otros peces y crustáceos. |Se distribuye en todo el Pacífico Centro-Oriental.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Serranus huascarii.png|0|||FMM
Lenguado|Common Sole|Solea solea|Actinopterygii|Pleuronectiformes|Soleidae|0|0|0|1|Peces importados|Nacional|1|0|0|0|0|2|35-70|Selectiva|Líneas de anzuelos. ||||||Especie marina de hábitos costeros. Vive fondos arenosos y fangosos. Se alimentan de gusanos, moluscos y crustáceos pequeño.|Habita en el Mar del Norte, a lo largo de la costa Atlántica Europea y en el Mar Mediterráneo; sin embargo, la mayor reserva se encuentra en el Mar de los Wadden.|Capturada|Congelado.|Holanda.||||||||||||Solea solea.png|0|||FMM
Botete diana|Bullseye Puffer|Sphoeroides annulatus|Actinopterygii|Tetraodontiformes|Tetraodontidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|18-44|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Los juveniles habitan estuarios. Se alimenta de crustáceos. |Se distribuye en el Pacífico Oriental, desde California, EE.UU. hasta Pisco, Perú y las Islas Galápagos. |Capturada|Acuarismo.||Sin datos.|Sin datos.|Sin datos.||||sin datos|sin datos |sin datos|||Sphoeroides annulatus.png|0|||FMM
Botete jaspeado|Marbled Puffer|Sphoeroides dorsalis|Actinopterygii|Tetraodontiformes|Tetraodontidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|18-20|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive sobre fondos blandos. Se alimenta de esponjas, cangrejos y otros crustáceos. |Se distribuye en el Atlántico Centro-Occidental. Toda el área, desde Carolina del Norte, EE.UU. a Surinam.|Capturada|Acuarismo.|||||sin datos.|sin datos.|sin datos.||||||Sphoeroides dorsalis.png|0|||FMM
Botete sureño|Southern Puffer|Sphoeroides nephelus|Actinopterygii|Tetraodontiformes|Tetraodontidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|20-30|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en bahías, estuarios y aguas costeras protegidas. Se alimenta principalmente de crustáceos, también en algunos peces.|Se distribuye en el Atlántico occidental, desde el noreste de Florida al norte del Golfo de México. |Capturada|Acuarismo.|||||sin datos.|sin datos.|sin datos.||||||Sphoeroides nephelus.png|0|||FMM
Botete collarete|Bandtail Puffer|Sphoeroides spengleri |Actinopterygii|Tetraodontiformes|Tetraodontidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|12.5-30|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de hábitos costeros. Vive en todos los hábitats costeros donde hay una cobertura adecuada, como las praderas marinas y plataformas de arrecifes. Se alimenta de moluscos, crustáceos y equinodermos.|Se distribuye en el Atlántico Occidental, desde Massachusetts , EE.UU. en el norte del Golfo de México y en todo el Mar Caribe hasta Brasil. |Capturada|Acuarismo.|||||sin datos.|sin datos.|sin datos.||||||Sphoeroides spengleri.png|0|||FMM
Picuda|Great Barracuda|Sphyraena barracuda|Actinopterygii|Perciformes|Sphyraenidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|140-200|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de  hábitos costeros.Vive en manglares, estuarios y zonas de arrecifes. Se alimenta de peces, moluscos y algunas veces en camarones.|Se distribuye en el Indo-Pacífico, desde el Mar Rojo y la costa este de África hasta Hawai. En el Atlántico Occidental, presente en  Massachusetts, EE.UU.,  y en todo el Mar Caribe hasta Brasil.|Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Sphyraena barracuda.png|0|||FMM
Barracuda|Mexican Barracuda|Sphyraena ensis|Actinopterygii|Perciformes|Sphyraenidae|0|0|1|0|Escama|Nacional|0|1|0|0|0|2|80-127|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de  hábitos costeros. Vive en arrecifes. Se alimenta de invertebrados bentónicos.|Se distribuye en el Pacifico desde Mexico hasta Ecuador.|Capturada|Se utiliza la carne.||Sin datos.|Sin datos.|Sin datos.|||||||||Sphyraena ensis.png|0|||FMM
Tolete|Guachanche Barracuda|Sphyraena guachancho|Actinopterygii|Perciformes|Sphyraenidae|1|1|0|0|Escama|Nacional|0|1|0|0|0|2|70-200|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa, red agallera para escama pelágica.||||||Especie marina de  hábitos costeros. Vive en aguas  poco profundas y generalmente turbia sobre fondos fangosos. Se alimenta de peces y calamares.|Se distribuye en el Atlántico Occidental, desde Massachusetts, EE.UU., en el norte del Golfo de México y en todo el Mar Caribe hasta Brasil. |Capturada|Se utiliza la carne.|||||Sin datos.|Sin datos.|Sin datos.||||||Sphyraena guachancho.png|0|||FMM
Tiburón martillo|Scalloped Bonnethead|Sphyrna corona|Chondrichthyes|Carcharhiniformes|Sphyrnidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|1|50-90|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina. Vive en la plataforma continental posiblemente cerca de la costa. Se alimenta de peces.|Se distribuye en el Pacífico Oriental, desde el Golfo de California a Perú.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.|||||Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.|Máximo aprovechamiento permisible.||||||SphyrnaCorona.png|1|||FMM
